SIC Code,SIC Label,Count
13901,Agricultural Products,24218
19101,Farms,1336
74220,Veterinarians Dvm Vmd Public Health,39954
75203,Animal Shelters,2619
75210,Pet Services,35535
97101,Hunting & Fishing Preserves,46
97106,Wildlife Conservation,319
149901,Mining Companies,3761
152130,Construction Building Contractors,461682
154235,Buildings Factory,38
175203,Flooring,42138
203301,Preserves (Manufacturers),801
208401,Wineries,6946
274105,Publishers,13788
371102,Automobile Manufacturers,358
399903,Manufacturers,71336
401190,Train Stations,4636
411101,Airport Transportation Service,2852
411902,Ambulance Service,7779
411904,Car Service,244437
411906,Rescue Squads,590
411914,Transportation Services,92967
412101,Taxis,22215
413101,Bus Lines,4737
414201,Buses Charter & Rental,3233
421205,Delivery Service,37913
421401,Moving Services,58022
431101,Post Offices,31233
448290,Ferry Terminals,840
449306,Marinas,3359
449903,Boat Launching,2133
451201,Airline Companies,11
458106,Airports,479
472401,Tourist Information,4090
472402,Travel Agents,44151
478502,Scales Public,1432
481302,Telecommunications Services,15928
481304,Telephone Companies,66729
491101,Electric Companies,4946
501209,Buses-New & Used (Wholesale),23
501210,Recreational Vehicles Wholesale,9655
501227,Snowmobiles Wholesale & Distributors,2024
502332,Curtains Shower & Bath Wholesale,58856
503999,Construction Materials NEC (Wholesale),263216
504403,Copiers,39529
504498,Office Equipment (Wholesale),42081
504704,Medical Supplies,50220
506304,Security Control Equipment & Systems-Wholesale,18502
508702,Beauty Salons-Equipment & Supplies (Wholesale),338362
509312,Recycling Centers (Wholesale),15689
512203,Pharmaceutical Products Wholesale,2358
514701,Butchering (Wholesale),12876
516916,Chemicals (Wholesale),4863
519402,Cigar Cigarette & Tobacco Dealers-Wholesale,37457
521107,Windows,475
521135,Electric Equipment & Supplies Retail,67546
521138,Home Centers,46003
523107,Paint Stores,15015
525104,Hardware Stores,28789
526104,Garden Centers,35376
531102,Department Stores,38931
531104,Retail Shops,121763
531110,Wholesale Clubs,12339
533101,Variety Stores,38081
541101,Food Markets,61138
541103,Convenience Stores,34900
541105,Grocery Stores,86621
541108,Grocers Health Foods,12830
542101,Seafood Markets,4009
543102,Farm Markets,2
